ocupa_politica,14/5/2018-23:10,0
agoramovimento,14/5/2018-23:10,16
as_muitas,14/5/2018-23:10,0
bancadaativista,14/5/2018-23:10,0
renovabr,14/5/2018-23:10,1
midianinja,14/5/2018-23:10,7
342artes,14/5/2018-23:10,0
movimentosemterra,14/5/2018-23:10,0
movimentolutanosbairros,14/5/2018-23:10,0
uneoficial,14/5/2018-23:10,2
cutbrasil,14/5/2018-23:10,0
coletivojuntos,14/5/2018-23:10,6
movimentocorrenteza,14/5/2018-23:10,0
ujs_brasil,14/5/2018-23:10,0
ujr_brasil,14/5/2018-23:10,0
movimentoolga,14/5/2018-23:10,0
ubesoficial,14/5/2018-23:10,0
ujcbrasil,14/5/2018-23:10,0
rua_juventudeanticapitalista,14/5/2018-23:10,1
afronte.nacional,14/5/2018-23:10,1
contag,14/5/2018-23:10,0
portalgeledes,14/5/2018-23:10,0
marchamulheres,14/5/2018-23:10,0
naokahlo,14/5/2018-23:10,4
vemprarua_br,14/5/2018-23:10,0
revoltadoson,14/5/2018-23:10,0
estudantespelaliberdade,14/5/2018-23:10,0
mblivre,14/5/2018-23:10,7
movimentocontraacorrupcao,14/5/2018-23:10,0
nasruasbrasil,14/5/2018-23:10,0
luizinacioluladasilvaoficial,14/5/2018-23:10,0
fernandohaddadoficial,14/5/2018-23:10,0
cirogomes,14/5/2018-23:10,0
jdoriajr,14/5/2018-23:10,2
geraldoalckmin_,14/5/2018-23:11,0
jairmessiasbolsonaro,14/5/2018-23:11,2
micheltemer,14/5/2018-23:11,0
_marinasilva_,14/5/2018-23:11,0
levyfidelix28,14/5/2018-23:11,0
pastoreveraldo,14/5/2018-23:11,0
robertoljustus,14/5/2018-23:11,0
guilhermeboulos.oficial,14/5/2018-23:11,28
jaqueswagner,14/5/2018-23:11,0
fernando_collor,14/5/2018-23:11,0
buarquecristovam,14/5/2018-23:11,0
