Nome real da conta,Nome da conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica,490,862,114
Movimento Agora!,https://www.instagram.com/agoramovimento,6799,72,255
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas,1232,255,75
Bancada Ativista,https://www.instagram.com/bancadaativista,3446,2688,135
RenovaBR,https://www.instagram.com/renovabr,23068,1613,138
M\u00eddia NINJA,https://www.instagram.com/midianinja,254436,478,9198
342 Artes,https://www.instagram.com/342artes,2656,3,105
MST Oficial,https://www.instagram.com/movimentosemterra,24211,36,404
MLB Brasil,https://www.instagram.com/movimentolutanosbairros,886,86,28
Uni\u00e3o Nacional dos Estudantes,https://www.instagram.com/uneoficial,34420,541,1609
CUT Brasil,https://www.instagram.com/cutbrasil,20686,428,857
Juntos!,https://www.instagram.com/coletivojuntos,5285,2506,595
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza,860,539,72
Uni\u00e3o da Juventude Socialista,https://www.instagram.com/ujs_brasil,9041,390,918
Uni\u00e3o da Juventude Rebeli\u00e3o,https://www.instagram.com/ujr_brasil,987,4,83
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga,1058,378,409
UBES,https://www.instagram.com/ubesoficial,11347,124,788
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista,38623,201,322
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional,397,228,22
,https://www.instagram.com/contag,45,0,15
Geled\u00e9s,https://www.instagram.com/portalgeledes,32532,211,309
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres,5121,298,388
N\u00e3o Me Kahlo,https://www.instagram.com/naokahlo,67064,89,463
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br,93200,592,4636
Revoltados On Line,https://www.instagram.com/revoltadoson,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade,2299,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre,162400,74,1888
Luta eterna pela corrup\u00e7\u00e3o,https://www.instagram.com/movimentocontraacorrupcao,58,206,3
Luiz In\u00e1cio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial,237922,1,239
Fernando Haddad,https://www.instagram.com/fernandohaddadoficial,29525,3,38
Ciro Gomes,https://www.instagram.com/cirogomes,29093,0,3
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_,105953,26,3794
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro,1111574,347,1264
Michel Temer,https://www.instagram.com/micheltemer,95661,104,613
Marina Silva,https://www.instagram.com/_marinasilva_,93780,68,767
Levy Fidelix,https://www.instagram.com/levyfidelix28,9662,54,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo,10653,300,1713
Fl\u00e1vio Rocha,https://www.instagram.com/flaviogr1,68838,1920,2248
robertoljustus,https://www.instagram.com/robertoljustus,1084298,152,1045
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial,56956,98,521
Jaques Wagner,https://www.instagram.com/jaqueswagner,21251,162,593
Fernando Collor,https://www.instagram.com/fernando_collor,13264,748,1393
Cristovam Buarque,https://www.instagram.com/buarquecristovam,9842,724,80
Jo\u00e3o Doria,https://www.instagram.com/jdoriajr,734073,144,2291
