Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Movimento Agora!,https://www.instagram.com/agoramovimento/,6821,71,260
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1251,255,79
Bancada Ativista,https://www.instagram.com/bancadaativista/,3512,2690,135
RenovaBR,https://www.instagram.com/renovabr/,23332,2914,140
Mídia NINJA,https://www.instagram.com/midianinja/,255743,478,9248
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,25393,40,410
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,899,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34546,1021,1611
CUT Brasil,https://www.instagram.com/cutbrasil/,20812,428,858
Juntos!,https://www.instagram.com/coletivojuntos/,5298,2507,600
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,865,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9123,397,926
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,987,4,83
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1061,377,411
UBES,https://www.instagram.com/ubesoficial/,11371,124,793
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,38752,532,323
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,422,256,27
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5122,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,67417,89,466
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93236,592,4639
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2296,138,42
