Nome real da conta,Conta,Seguidores,Seguindo,Postagens
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1266,256,81
Bancada Ativista,https://www.instagram.com/bancadaativista/,3606,2688,135
RenovaBR,https://www.instagram.com/renovabr/,24197,5072,144
Mídia NINJA,https://www.instagram.com/midianinja/,258282,478,9342
342 Artes,https://www.instagram.com/342artes/,2656,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26603,40,417
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,973,87,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35097,3971,1614
CUT Brasil,https://www.instagram.com/cutbrasil/,21125,428,861
Juntos!,https://www.instagram.com/coletivojuntos/,5352,2365,611
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,871,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9341,402,948
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,993,4,88
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1083,377,416
UBES,https://www.instagram.com/ubesoficial/,11405,122,803
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39124,625,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,449,268,31
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5148,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,68729,91,470
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93434,591,4656
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2310,138,42
