Nome real da conta,Conta,Seguidores,Seguindo,Postagens
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1252,255,81
Bancada Ativista,https://www.instagram.com/bancadaativista/,3586,2688,135
RenovaBR,https://www.instagram.com/renovabr/,23940,6838,143
Mídia NINJA,https://www.instagram.com/midianinja/,257660,479,9314
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26302,40,417
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,953,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34927,2879,1613
CUT Brasil,https://www.instagram.com/cutbrasil/,21032,428,860
Juntos!,https://www.instagram.com/coletivojuntos/,5323,2360,605
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,869,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9284,400,940
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,991,4,85
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1081,377,413
UBES,https://www.instagram.com/ubesoficial/,11399,122,802
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39013,241,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,442,268,31
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5135,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,68347,90,468
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93409,591,4653
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2301,138,42
