Nome real da conta,Conta,Seguidores,Seguindo,Postagens
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1265,255,81
Bancada Ativista,https://www.instagram.com/bancadaativista/,3602,2688,135
RenovaBR,https://www.instagram.com/renovabr/,24039,5495,143
Mídia NINJA,https://www.instagram.com/midianinja/,258173,478,9341
342 Artes,https://www.instagram.com/342artes/,2654,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26549,40,417
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,969,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35057,3755,1613
CUT Brasil,https://www.instagram.com/cutbrasil/,21112,428,861
Juntos!,https://www.instagram.com/coletivojuntos/,5345,2362,611
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,870,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9331,402,948
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,993,4,88
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1084,377,416
UBES,https://www.instagram.com/ubesoficial/,11407,122,803
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39107,612,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,447,268,31
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5148,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,68626,90,470
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93426,591,4656
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2309,138,42
