Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Movimento Agora!,https://www.instagram.com/agoramovimento/,6838,71,261
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1253,255,80
Bancada Ativista,https://www.instagram.com/bancadaativista/,3540,2688,135
RenovaBR,https://www.instagram.com/renovabr/,23514,4307,140
Mídia NINJA,https://www.instagram.com/midianinja/,256564,478,9263
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,25753,40,410
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,917,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34666,1592,1612
CUT Brasil,https://www.instagram.com/cutbrasil/,20887,428,858
Juntos!,https://www.instagram.com/coletivojuntos/,5302,2357,602
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,866,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9184,397,932
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,989,4,83
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1070,377,411
UBES,https://www.instagram.com/ubesoficial/,11380,126,797
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,38846,473,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,432,261,29
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5132,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,67774,89,467
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93289,592,4644
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2298,138,42
