Nome real da conta,Conta,Seguidores,Seguindo,Postagens
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1256,255,81
Bancada Ativista,https://www.instagram.com/bancadaativista/,3567,2689,135
RenovaBR,https://www.instagram.com/renovabr/,23761,5806,141
Mídia NINJA,https://www.instagram.com/midianinja/,257250,479,9290
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26067,40,415
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,937,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34829,2323,1613
CUT Brasil,https://www.instagram.com/cutbrasil/,20966,428,860
Juntos!,https://www.instagram.com/coletivojuntos/,5322,2361,604
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,869,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9252,399,936
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,991,4,85
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1072,377,411
UBES,https://www.instagram.com/ubesoficial/,11388,126,800
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,38921,307,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,437,261,30
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5134,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,68057,90,467
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93377,592,4649
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2299,138,42
Ocupapolitica,https://www.instagram.com/ocupa_politica/,494,861,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6840,72,264
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1256,255,81
LEVANTE POPULAR DA JUVENTUDE,https://www.instagram.com/levantedajuventude/,22032,88,799
União da Juventude Comunista,https://www.instagram.com/ujcbrasil/,2021,148,152
UBM Brasil,https://www.instagram.com/ubmbrasil/,1295,2078,144
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32647,211,311
Instituto Mercado Popular,https://www.instagram.com/omercadopopular/,269,5,1
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,163595,1123,1926
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,59,206,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,239838,1,243
Fernando Haddad,https://www.instagram.com/fernandohaddadoficial/,30990,3,39
Ciro Gomes,https://www.instagram.com/cirogomes/,219565,127,10
João Doria,https://www.instagram.com/jdoriajr/,732926,144,2294
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106169,34,3811
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1122701,346,1272
Henrique Meirelles,https://www.instagram.com/henriquemeirelles.real/,11448,22,115
Michel Temer,https://www.instagram.com/micheltemer/,96026,104,616
Marina Silva,https://www.instagram.com/_marinasilva_/,93957,68,772
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9657,56,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,10668,300,1714
Flávio Rocha,https://www.instagram.com/flaviogr1/,69650,1919,2261
robertoljustus,https://www.instagram.com/robertoljustus/,1088248,152,1048
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,68428,98,570
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21427,162,596
Fernando Collor,https://www.instagram.com/fernando_collor/,13369,749,1397
